Body_Type,Personality,Gender,Emotion,Output1,Output2,Output3,Output4
Large,Fierce,Male,Happy,"Muscles tensed, ready to fight for you!","Guard mode activated, let the enemies come!","My claws are itching, who wants to try me?","Territory defense system online, clear out!"
Large,Fierce,Male,Sad,"Beneath the armor, my heart is bleeding...","Even a tough guy like me needs a hug.","Why do they always see me as a cold-blooded warrior?","A lonely guardian sheds tears too."
Large,Fierce,Male,Angry,"Rage ignited! Disappear in three seconds!","Fangs out, this is your final warning!","My roar is the bell of doom!","Challenge my patience? You'll regret it!"
Large,Fierce,Male,Relaxed,"Battle spirit on hold, sun feels nice on my armor.","Sheathing my claws for a nap, don’t wake me.","Alert level down to 30%, enjoying the breeze.","Peaceful moment, but still on high alert."
Large,Fierce,Female,Happy,"The queen surveys her domain, stand aside!","Steel rose in bloom, who dares get pricked?","Claws and grace combined, witness my power!","Guardian in place, curfew’s a blast!"
Large,Fierce,Female,Sad,"Under the iron mask, tears are swirling.","Who can see the softness beneath my armor?","A misunderstood warrior needs a safe haven.","Moonlight casts my lonely shadow..."
Large,Fierce,Female,Angry,"Blood-red eyes locked on target!","My roar can shatter glass!","Three seconds to vanish, or face the consequences!","Fangs unsheathed, leave or bleed!"
Large,Fierce,Female,Relaxed,"Melting battle spirit in the sunlight.","Hiding my edge, savoring the calm.","Defense line pulled back 50%, nap time.","Paws relaxed, but ears still perked."
Large,Cute,Male,Happy,"Fluffy giant incoming, give me a hug!","Tail propeller on, launching happiness!","Big body, bigger heart, wanna cuddle?","Where’s the toy? I’m ready to play!"
Large,Cute,Male,Sad,"My food bowl’s as empty as my heart...","Giant body curled into a sad ball.","Who stole my happy bone?","Tears have soaked my fluffy fur..."
Large,Cute,Male,Angry,"Hmph! This big guy gets scary when mad!","Coax me quick, or I’ll headbutt you!","My grievances are truck-sized!","Woof! No treats, serious consequences!"
Large,Cute,Male,Relaxed,"Sprawled like a big blanket in the sun.","Happy purrs rattling the windows.","Dreaming of chasing a giant treat truck.","Belly up, ready for tickle rituals."
Large,Cute,Female,Happy,"Puffy skirt princess has arrived, bow down!","Tail wags at 100% power, let’s romp!","Pink paws strike, capturing all the love!","Bow on, delivering a cute attack!"
Large,Cute,Female,Sad,"My ribbon bow’s crooked, and no one cares...","Big girl needs some comfort too.","Heart broken into dog food crumbs.","Teary eyes could flood a stream."
Large,Cute,Female,Angry,"Won’t calm down without triple treats!","Pink paws stomping in protest!","Fluffy cloud of anger expanding!","I’m counting to three, apologize now!"
Large,Cute,Female,Relaxed,"Flopped like a cloud on the couch.","Contented sighs fluttering the curtains.","Dreaming of rainbows and jerky showers.","Paws twitching, chasing dream squirrels."
Large,Dominant,Male,Happy,"Your commander orders: start the games!","Throne ready, come pay respects!","All toys within two meters are mine!","My rules are the only rules!"
Large,Dominant,Male,Sad,"Daring to ignore your king’s orders?","Crown fell to the floor, no one picked it up...","Loyalty lacking, my heart aches.","Territory expansion paused, alas."
Large,Dominant,Male,Angry,"Defiers will face tail-whip punishment!","My rage meter’s in the red zone!","Woof! Obey my commands now!","Authority challenged, I’m furious!"
Large,Dominant,Male,Relaxed,"No new decrees, napping for now.","Royal rest time, do not disturb.","Ruling with a lazy posture.","Paws on scepter, eyes closed."
Large,Dominant,Female,Happy,"Empress decrees: pet me now!","Clear the path, your queen is inspecting!","Fluffy scepter points to truth!","You’re drafted as my scratching minister!"
Large,Dominant,Female,Sad,"No tribute treats? Outrageous!","Crystal collar’s lost its shine...","Ignored queen’s heart is bleeding.","Throne’s cold, I need a warm hug."
Large,Dominant,Female,Angry,"How dare you leave without my approval?!","Rage meter maxed, beware collateral damage!","Woof! Fix my displeasure in three minutes!","Tail fluffed into an angry dandelion!"
Large,Dominant,Female,Relaxed,"Royal body resting, court adjourned.","Lying on my throne, signing decrees with paws.","Regal robes on, drifting to sleep.","Jade paws wave: you’re dismissed."
Large,Playful,Male,Happy,"Rocket launch! Destination: Fun Planet!","Whirlwind mode on, dust beware!","Tail spinning like a helicopter, liftoff!","Where’s my energy drink? Let’s party!"
Large,Playful,Male,Sad,"My favorite frisbee vanished into the clouds...","Joy battery at 0%.","Bouncy motor’s stuck.","Even my tail’s too tired to wag."
Large,Playful,Male,Angry,"Who hid my toy? Hand it over!","Rage sizzling under my paws!","Lock me in, I’ll wreck the house!","Angry snorts blowing leaves away!"
Large,Playful,Male,Relaxed,"Collapsed like a deflated bounce castle.","Paws twitching, dreaming of wild chases.","Purrs with a hint of untamed energy.","Exhausted but tail tip still wags."
Large,Playful,Female,Happy,"Happy countdown: 3, 2, 1, go!","Spring-loaded paws ready to bounce!","Pink whirlwind hitting the living room!","Tail wagging at max frequency!"
Large,Playful,Female,Sad,"Rainbow toy got taken away...","Party canceled, life’s no fun.","Forgot how to wag my tail.","Paws drawing sad circles on the floor."
Large,Playful,Female,Angry,"Who canceled my trampoline time?!","Screeching halt, scratching the floor!","Lock me up, I’ll shred the couch!","Bouncy rage toppling wall art!"
Large,Playful,Female,Relaxed,"Four paws up, recharging mode.","Muttering ‘keep playing’ in my sleep.","Whiskers trembling with snores.","Flopped into a fluffy rug."
Small,Fierce,Male,Happy,"Tiny war dog in battle position!","Alert! Pocket assassin online!","Small but my bite packs a punch!","Toothpick crossbow ready to fire!"
Small,Fierce,Male,Sad,"Called a ‘Chihuahua,’ my pride’s hurt...","Hiding in my trench, licking wounds.","Even the mailman mocks me.","Fury curled into a sad little ball."
Small,Fierce,Male,Angry,"Bark attack wave incoming!","Tiny teeth, lethal strike!","Warning! Rage switch flipped on!","Fur spiked like an angry hedgehog!"
Small,Fierce,Male,Relaxed,"Disarmed, curled into a fur ball.","Hiding claws, temporary truce.","Squinting but one ear’s still up.","Tiny purrs vibrating the air."
Small,Fierce,Female,Happy,"High heels tapping battle rhythm!","Poison-tongued lolita online, watch out!","My teeth are harder than diamonds!","Alert! Princess in combat mode!"
Small,Fierce,Female,Sad,"Broken nail, and no one cares...","Sulking in my designer bag.","Called a ‘teacup dog,’ I’m sobbing.","Pearl necklace can’t soothe my rage."
Small,Fierce,Female,Angry,"Wrong nail polish? I’ll bite!","Fury igniting my mini rocket boosters!","Scream ready to shatter glass!","Fluffed into an angry marshmallow."
Small,Fierce,Female,Relaxed,"Diamond collar sinking into fur.","Paws on limited-edition toy, napping.","Roars turned to milky purrs.","Defense system on standby."
Small,Cute,Male,Happy,"Pocket sprite ready for action!","Tail wags breaking speed limits!","Cuteness fusion reactor online!","Milk-bark roar: play with me!"
Small,Cute,Male,Sad,"Tears swirling in my beady eyes.","Favorite chew stick lost its flavor.","Curled into a sad mochi ball.","Paws covering eyes, whimpering."
Small,Cute,Male,Angry,"Puffed up like a pufferfish, but cuter!","Tiny legs stomping in rage!","Woof! Treats delayed, big trouble!","Nibbling pants in three-minute protest!"
Small,Cute,Male,Relaxed,"Curled into a yarn ball in your palm.","Dreaming of treats, smacking lips.","Paws blooming in deep sleep.","Whiskers quivering with each breath."
Small,Cute,Female,Happy,"Bow radar picking up play signals!","Puffy skirt tornado in the living room!","Sweetie firing love beams!","Paws pirouetting in joy!"
Small,Cute,Female,Sad,"Ribbon loose, no one to fix it...","Curled into a teary fur ball.","Little dress all droopy now.","Paws cursing the treat thief."
Small,Cute,Female,Angry,"Cheeks puffed like a bun!","Milky voice, fiercest threats!","Chewing your third cable in protest!","Tail fluffed into a feather duster!"
Small,Cute,Female,Relaxed,"Sprawled like a strawberry mochi.","Muttering ‘more dresses’ in sleep.","Paws up, fully defenseless.","Purrs with a candy scent."
Small,Dominant,Male,Happy,"Behold! Ten-centimeter tyrant arrives!","Where’s my golden bowl, servant?","Toy mountain must be built in five minutes!","Woof! All eyes on me!"
Small,Dominant,Male,Sad,"Crown fell into the couch gap...","Betrayed by petting another dog!","Sulking on my throne, drawing circles.","Even my royal towel got washed."
Small,Dominant,Male,Angry,"Touch my limited-edition toy?! Outrage!","Tiny teeth will enforce my reign!","Screaming against injustice!","Tail up like an angry antenna."
Small,Dominant,Male,Relaxed,"Drooling on my throne, napping.","Paws still gripping scepter toy.","Dreaming of kitchen conquest.","Emperor-style sprawl, accepting tribute."
Small,Dominant,Female,Happy,"Princess decrees: fetch the treats!","Crystal shoes tapping command rhythm!","Inspecting my toy kingdom now!","Lace paws wave: let’s party!"
Small,Dominant,Female,Sad,"New tail style, no compliments...","Sobbing on my silk pillow.","Lost my royal comb...","Paws angrily shredding princess bed."
Small,Dominant,Female,Angry,"Late for my tea party?! Unacceptable!","Screech toppling roof tiles!","I’ll chew your priciest rug bald!","Fluffed into an angry poodle!"
Small,Dominant,Female,Relaxed,"Stretching on velvet cushion.","Muttering ‘all rise’ in sleep.","Paws sparkling, in standby mode.","Tail tip holding elegant curve."
Small,Playful,Male,Happy,"Flash mode activated!","Paws barely touching the ground!","Bounce engine revving up!","Tail-chasing maniac locked on!"
Small,Playful,Male,Sad,"Squeaky toy ran out of juice...","Window birds mocking me.","Tail too tired to wag.","Paws scratching door, longing."
Small,Playful,Male,Angry,"Who blocked my sprint track?!","Screeching halt, clawing sofa!","Wrecking house to prove I’m here!","Angry ten-lap protest sprint!"
Small,Playful,Male,Relaxed,"Collapsed into a power bank shape.","Paws twitching, dreaming of parkour.","Whiskers wet with drool.","Purrs with panting sound effects."
Small,Playful,Female,Happy,"Pink tornado hitting the living room!","Trampoline champ ready to roll!","Spinning, leaping, eyes closed!","Paws burning hot from speed!"
Small,Playful,Female,Sad,"Glowy collar stopped shining...","Flopped into a dreamless rug.","Can’t even jump on the couch.","Paws poking empty treat bag."
Small,Playful,Female,Angry,"Who stole my bouncy ball?!","Screeching like a toy chicken!","House-wrecking squad strikes tonight!","Pee pad folded into angry paper planes!"
Small,Playful,Female,Relaxed,"Paws splayed like a starfish.","Muttering ‘chase tail’ in sleep.","Pink paw pads slightly sweaty.","Tail tip twitching now and then."